# taa_marbuta_ha_list.tsv
# Maps word-final ه forms (spontaneous TUN spelling) back to NOTA canonical
# with Taa Marbuta ة.
# Rule source: CODA-TUN §4.3, COTA 2.0 Table 1, NOTA §3.
# Format: wrong_form TAB correct_nota_form
# Lines beginning with # are comments.
#
# wrong (ه)	correct (ة)
اثنيه	اثنية
اجابه	اجابة
اجتماعيه	اجتماعية
اخته	اخته
اخره	اخرة
اربعه	اربعة
اعاده	اعادة
اغتياله	اغتيالة
افريقيه	افريقية
اقتصاديه	اقتصادية
الاخره	الأخرة
الاخيره	الأخيرة
الاداره	الإدارة
الادله	الأدلة
الاذاعه	الإذاعة
الاسبانيه	الإسبانية
الاسلاميه	الإسلامية
الاقتصاديه	الاقتصادية
الامريكيه	الأمريكية
الامنيه	الأمنية
الانسه	الآنسة
البحريه	البحرية
البركه	البركة
البصمه	البصمة
البطاقه	البطاقة
البطوله	البطولة
البقره	البقرة
البقعه	البقعة
البلاصه	البلاصة
البنيه	البنية
التجاره	التجارة
التجربه	التجربة
التلفزه	التلفزة
التونسيه	التونسية
الثالثه	الثالثة
الثانيه	الثانية
الثنيه	الثنية
الثوره	الثورة
الجامعه	الجامعة
الجثه	الجثة
الجديده	الجديدة
الجريمه	الجريمة
الجزائريه	الجزائرية
الجماعه	الجماعة
الجمهوريه	الجمهورية
الجميله	الجميلة
الجنه	الجنة
الجنينه	الجنينة
الجهه	الجهة
الحاجه	الحاجة
الحادثه	الحادثة
الحاله	الحالة
الحجره	الحجرة
الحفله	الحفلة
الحقيقه	الحقيقة
الحكايه	الحكاية
الحومه	الحومة
الحياه	الحياة
الخارجيه	الخارجية
الخبزه	الخبزة
الخدمه	الخدمة
الخربه	الخربة
الخزنه	الخزنة
الخمسه	الخمسة
الداخليه	الداخلية
الدخله	الدخلة
الدرجه	الدرجة
الدوله	الدولة
الذاكره	الذاكرة
الرساله	الرسالة
الرعيه	الرعية
الروايه	الرواية
الزاويه	الزاوية
الزبله	الزبلة
الزنقه	الزنقة
الزوجه	الزوجة
الساعه	الساعة
السرايه	السراية
السرقه	السرقة
السعوديه	السعودية
السقيفه	السقيفة
السلامه	السلامة
السلسله	السلسلة
السلطه	السلطة
السلعه	السلعة
السيده	السيدة
الشابه	الشابة
الشبكه	الشبكة
الشبيبه	الشبيبة
الشجره	الشجرة
الشخصيه	الشخصية
الشرطه	الشرطة
الشركه	الشركة
الشمعه	الشمعة
الشهره	الشهرة
الصحه	الصحة
الصدمه	الصدمة
الصغيره	الصغيرة
الصلاه	الصلاة
الصنعه	الصنعة
الصوره	الصورة
الضحيه	الضحية
الضربه	الضربة
الطاقه	الطاقة
الطالبيه	الطالبة
الطاوله	الطاولة
الطبيعيه	الطبيعية
الطريقه	الطريقة
الطفله	الطفلة
العائله	العائلة
العاده	العادة
العاصمه	العاصمة
العالميه	العالمية
العجينه	العجينة
العراقيه	العراقية
العربيه	العربية
العروسه	العروسة
العسه	العسة
العشريه	العشرية
العشيه	العشية
العصابه	العصابة
العقليه	العقلية
العمله	العملة
العمليه	العملية
العموميه	العمومية
الغابه	الغابة
الغاليه	الغالية
الفتره	الفترة
الفضه	الفضة
الفكره	الفكرة
الفلاحه	الفلاحة
الفلانيه	الفلانية
القادمه	القادمة
القاعه	القاعة
القافله	القافلة
القرايه	القراية
القصه	القصة
القطعيه	القطعية
القفه	القفة
القناه	القناة
القهوه	القهوة
القوه	القوة
القيامه	القيامة
الكبيره	الكبيرة
الكرهه	الكُرهة
الكروسه	الكروسة
الكلمه	الكلمة
الكوجينه	الكوجينة
اللجنه	اللجنة
اللعبه	اللعبة
اللغه	اللغة
الليله	الليلة
المؤسسه	المؤسسة
الماديه	المادية
الماكله	الماكلة
المتابعه	المتابعة
المجموعه	المجموعة
المحاكمه	المحاكمة
المحكمه	المحكمة
المدرسه	المدرسة
المدينه	المدينة
المراقبه	المراقبة
المراه	المرأة
المرايه	المرآة
المرتبه	المرتبة
المرمه	المرمة
المره	المرة
المسؤوليه	المسؤولية
المساله	المسألة
المستعمله	المستعملة
المسكينه	المسكينة
المسلحه	المسلحة
المشكله	المشكلة
المشنقه	المشنقة
المقابله	المقابلة
المقاومه	المقاومة
الملوخيه	الملوخية
المليكه	المليكة
المملكه	المملكة
المنطقه	المنطقة
الميده	الميدة
النازله	النازلة
النتيجه	النتيجة
النجده	النجدة
النخله	النخلة
الوحده	الوحدة
الوحيده	الوحيدة
الورقه	الورقة
الوضعيه	الوضعية
الوطنيه	الوطنية
امانه	امانة
امراه	امرأة
امكانيه	امكانية
اميره	اميرة
اهميه	اهمية
بالطبيعه	بالطبيعة
بالكعبه	بالكعبة
بالنسبه	بالنسبة
باهيه	باهية
بحاجه	بحاجة
بدايه	بداية
بدعه	بدعة
بركه	بركة
بصفه	بصفة
بصمته	بصمته
بطاقه	بطاقة
بطبيعه	بطبيعة
بطريقه	بطريقة
بطوله	بطولة
بقعته	بقعة
بقعه	بقعة
بقيه	بقية
بلاصه	بلاصة
بنيه	بنية
بهيه	بهية
بوقطايه	بوقطاية
تتوجه	تتوجه
تحيه	تحية
تونسيه	تونسية
ثانيه	ثانية
ثقه	ثقة
ثنيه	ثنية
جاره	جارة
جامعه	جامعة
جايه	جاية
جثه	جثة
جديده	جديدة
جريمه	جريمة
جلسه	جلسة
جماعه	جماعة
جمعيه	جمعية
جمله	جملة
جنه	جنة
جهه	جهة
حاجه	حاجة
حادثه	حادثة
حاضره	حاضرة
حاله	حالة
حانوته	حانوتة
حبله	حبلة
حجره	حجرة
حره	حرة
حريه	حرية
حصانه	حصانة
حضوره	حضورة
حطه	حطة
حفره	حفرة
حفله	حفلة
حقيقه	حقيقة
حكايه	حكاية
حكومه	حكومة
حليمه	حليمة
حميده	حميدة
حومه	حومة
حياه	حياة
حيه	حية
خاصه	خاصة
خاطره	خاطرة
خايبه	خايبة
خبزه	خبزة
خدمه	خدمة
خزنه	خزنة
خطوه	خطوة
خطيره	خطيرة
خليقه	خليقة
خليه	خلية
داخله	داخلة
داره	دارة
دايره	دائرة
دخله	دخلة
درجه	درجة
دقيقه	دقيقة
دوره	دورة
دولاب	دولاب
دوله	دولة
راقده	راقدة
رحمه	رحمة
رده	ردة
رزقه	رزقة
رساله	رسالة
رسميه	رسمية
روايه	رواية
ريحه	ريحة
زاويه	زاوية
زياده	زيادة
ساعه	ساعة
ساقيه	ساقية
ساهله	ساهلة
سعيده	سعيدة
سقيه	سقية
سلسله	سلسلة
سلعه	سلعة
سنه	سنة
سوره	سورة
سوريه	سورية
سياسيه	سياسية
شبيه	شبيهة
شجره	شجرة
شخصيه	شخصية
شركه	شركة
شهاده	شهادة
شهقه	شهقة
شويه	شوية
شيره	شيرة
صاحبته	صاحبته
صاحبه	صاحبة
صحه	صحة
صدمه	صدمة
صعيبه	صعيبة
صغيره	صغيرة
صلاه	صلاة
صنعه	صنعة
صورة	صورة
صوره	صورة
ضعيفه	ضعيفة
طاقه	طاقة
طالبه	طالبة
طاوله	طاولة
طبيعه	طبيعة
طبيعيه	طبيعية
طريقه	طريقة
طفله	طفلة
طويله	طويلة
طيبه	طيبة
عائلته	عائلته
عائله	عائلة
عاده	عادة
عاديه	عادية
عارفه	عارفة
عامه	عامة
عباره	عبارة
عزوزه	عزوزة
عشريه	عشرية
عطيه	عطية
عظمه	عظمة
علاقه	علاقة
علميه	علمية
عماره	عمارة
عمليه	عملية
عميره	عميرة
عيله	عيلة
عينه	عينة
غريبه	غريبة
غساله	غسالة
غفله	غفلة
فارغه	فارغة
